epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.38383,2.8124,1.7929,1.85922,0.98873,0.83333,0.96289,0.34006,2.33895,0.84643,1.46221,0.0001,0.0001,0.0001
2,11.0821,2.17568,0.89413,1.51392,0.99151,1,0.995,0.60099,1.47635,0.50833,1.09246,0.00020911,0.00020911,0.00020911
3,15.2269,1.41191,0.6314,1.09017,0.997,1,0.995,0.69826,1.1048,0.44466,0.9522,0.00030634,0.00030634,0.00030634
4,19.3916,1.47764,0.67696,1.03543,0.99742,1,0.995,0.65697,1.30959,0.46456,1.00639,0.00039169,0.00039169,0.00039169
5,23.9052,1.30795,0.55142,1.02499,0.99777,1,0.995,0.69175,1.08485,0.41394,0.93312,0.00046516,0.00046516,0.00046516
6,28.038,1.21648,0.50264,1.01153,0.99676,1,0.995,0.73328,0.98733,0.37853,0.89514,0.00052675,0.00052675,0.00052675
7,32.3011,1.14867,0.46747,0.98176,0.9967,1,0.995,0.75211,0.93786,0.36778,0.88689,0.00057646,0.00057646,0.00057646
8,36.9404,1.1137,0.47271,0.94073,0.99691,1,0.995,0.76937,0.88705,0.36117,0.87391,0.00061429,0.00061429,0.00061429
9,41.0641,1.04745,0.44284,0.92456,0.99807,1,0.995,0.7852,0.8702,0.34924,0.87275,0.00064024,0.00064024,0.00064024
10,45.0333,0.99626,0.43028,0.92299,0.99828,1,0.995,0.80207,0.84637,0.3349,0.86401,0.00065431,0.00065431,0.00065431
11,76.8179,0.91244,0.37531,0.92243,0.99914,1,0.995,0.79322,0.93749,0.38792,0.87938,0.0006565,0.0006565,0.0006565
12,80.9107,0.93202,0.38608,0.94383,0.96227,0.97222,0.98957,0.69473,1.23779,0.49801,0.96022,0.00064681,0.00064681,0.00064681
13,84.7565,0.94188,0.39596,0.93625,0.96764,0.88889,0.96967,0.6134,1.45983,0.61409,1.0367,0.00062524,0.00062524,0.00062524
14,88.6389,0.90104,0.37133,0.9263,0.93386,0.88889,0.96355,0.62818,1.39078,0.64588,1.00975,0.00059179,0.00059179,0.00059179
15,92.5257,0.9152,0.37009,0.92778,0.97131,0.94057,0.98035,0.68065,1.21828,0.56814,0.95045,0.00054646,0.00054646,0.00054646
16,96.6085,0.90072,0.38561,0.9305,0.99778,0.97222,0.99346,0.74671,0.97672,0.44221,0.87989,0.00048925,0.00048925,0.00048925
17,101.037,0.88763,0.36254,0.92233,0.99717,0.97222,0.99446,0.75628,0.94837,0.41074,0.87511,0.000416,0.000416,0.000416
18,105.019,0.89924,0.37788,0.90405,1,0.99955,0.995,0.76681,0.93855,0.3808,0.87379,0.000317,0.000317,0.000317
19,109.266,0.84604,0.36132,0.91109,0.99933,1,0.995,0.77399,0.9231,0.36911,0.87081,0.000218,0.000218,0.000218
20,113.481,0.83731,0.35276,0.9073,0.99857,1,0.995,0.79027,0.89023,0.35346,0.86418,0.000119,0.000119,0.000119
