epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,915.76,1.78193,3.52628,1.07626,0.55235,0.89561,0.64046,0.47749,0.91841,1.34524,0.84767,5.9428e-05,5.9428e-05,5.9428e-05
2,1608.88,1.10011,1.3181,0.87189,0.62846,0.92217,0.78742,0.61932,0.78358,1.06593,0.82274,0.000111234,0.000111234,0.000111234
3,2296.64,0.96169,1.10468,0.85608,0.68019,0.9177,0.85522,0.69328,0.72078,0.92175,0.81478,0.000155165,0.000155165,0.000155165
4,2978.9,0.88854,0.99395,0.84488,0.7082,0.90365,0.87867,0.7222,0.67198,0.85593,0.80839,0.000143558,0.000143558,0.000143558
5,3659.68,0.84488,0.92206,0.83808,0.76418,0.90835,0.9151,0.76146,0.6453,0.80457,0.80665,0.000131744,0.000131744,0.000131744
6,4329.21,0.7131,0.79944,0.81975,0.83787,0.91033,0.94662,0.79131,0.64874,0.69831,0.80691,0.00011993,0.00011993,0.00011993
7,4998.26,0.67063,0.73129,0.81588,0.80732,0.9148,0.93791,0.80239,0.60065,0.67711,0.80099,0.000108116,0.000108116,0.000108116
8,5669.29,0.66403,0.6955,0.81527,0.8352,0.93281,0.95386,0.81359,0.59973,0.63083,0.80086,9.6302e-05,9.6302e-05,9.6302e-05
9,6338.37,0.63692,0.6547,0.81078,0.85914,0.93531,0.96457,0.82763,0.58909,0.59381,0.79962,8.4488e-05,8.4488e-05,8.4488e-05
10,7007.93,0.63002,0.62969,0.81036,0.86624,0.93453,0.96673,0.8357,0.56648,0.57107,0.79714,7.2674e-05,7.2674e-05,7.2674e-05
11,7676.15,0.61154,0.604,0.81031,0.85205,0.93268,0.96119,0.83115,0.57372,0.58128,0.79733,6.086e-05,6.086e-05,6.086e-05
12,8347.12,0.60821,0.58995,0.80691,0.87487,0.92472,0.96845,0.84991,0.54201,0.55126,0.7949,4.9046e-05,4.9046e-05,4.9046e-05
13,9016.61,0.59896,0.5677,0.80804,0.87902,0.93041,0.96987,0.85013,0.53964,0.53632,0.79467,3.7232e-05,3.7232e-05,3.7232e-05
14,9687.98,0.59582,0.56007,0.80657,0.86772,0.91938,0.96292,0.84687,0.53982,0.5513,0.7947,2.5418e-05,2.5418e-05,2.5418e-05
15,10357.6,0.58665,0.55143,0.80356,0.85603,0.94241,0.96748,0.84967,0.53908,0.53742,0.79446,1.3604e-05,1.3604e-05,1.3604e-05
