epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.088,1.08613,1.30139,0.90932,0.63725,0.87352,0.75147,0.58903,0.76094,0.92676,0.83009,0.000664,0.000664,0.000664
2,329.197,0.82892,0.77907,0.84292,0.76887,0.87484,0.90584,0.75553,0.6629,0.6722,0.81292,0.00128675,0.00128675,0.00128675
3,470.033,0.79487,0.71261,0.84014,0.8922,0.90902,0.9683,0.79924,0.70737,0.56755,0.81837,0.00186551,0.00186551,0.00186551
4,609.564,0.75894,0.65982,0.83348,0.87446,0.91215,0.95911,0.79715,0.66674,0.53852,0.81374,0.001802,0.001802,0.001802
5,746.835,0.71365,0.6137,0.82617,0.86141,0.89535,0.95502,0.81472,0.6093,0.53447,0.80941,0.001736,0.001736,0.001736
6,887.711,0.68057,0.57675,0.82333,0.92184,0.94593,0.98304,0.86551,0.53505,0.42204,0.79803,0.00167,0.00167,0.00167
7,1024.17,0.66583,0.54142,0.81946,0.84422,0.91244,0.95669,0.84385,0.52824,0.49996,0.79767,0.001604,0.001604,0.001604
8,1160.5,0.63867,0.51733,0.81637,0.92019,0.91256,0.973,0.88067,0.48746,0.42341,0.79188,0.001538,0.001538,0.001538
9,1297.47,0.63181,0.49592,0.81749,0.96168,0.92664,0.98666,0.88412,0.49787,0.37775,0.79196,0.001472,0.001472,0.001472
10,1437.23,0.61032,0.47872,0.81232,0.96777,0.96317,0.99121,0.87123,0.57485,0.37848,0.80396,0.001406,0.001406,0.001406
11,1574.5,0.59164,0.46246,0.81187,0.9406,0.95356,0.98525,0.88392,0.50468,0.37613,0.79426,0.00134,0.00134,0.00134
12,1714.1,0.58509,0.45454,0.80843,0.9401,0.9533,0.9868,0.88762,0.49105,0.36225,0.79028,0.001274,0.001274,0.001274
13,1853.68,0.57302,0.43793,0.80716,0.9613,0.97896,0.99196,0.89524,0.5011,0.32847,0.79244,0.001208,0.001208,0.001208
14,1993.38,0.56037,0.41847,0.80665,0.95939,0.95951,0.98823,0.88105,0.53232,0.34731,0.795,0.001142,0.001142,0.001142
15,2131.39,0.55789,0.41517,0.80784,0.95409,0.96722,0.99111,0.90079,0.47498,0.32584,0.79133,0.001076,0.001076,0.001076
16,2272.31,0.5458,0.40128,0.80371,0.97076,0.97844,0.99322,0.9024,0.47787,0.29682,0.78915,0.00101,0.00101,0.00101
17,2411.79,0.53164,0.38651,0.80073,0.94269,0.97759,0.99037,0.90568,0.46167,0.31171,0.78781,0.000944,0.000944,0.000944
18,2550.9,0.52871,0.38397,0.80498,0.95428,0.95494,0.98852,0.91183,0.43416,0.31824,0.78566,0.000878,0.000878,0.000878
19,2691.56,0.51651,0.37097,0.80277,0.947,0.96782,0.99051,0.9034,0.46126,0.30887,0.78867,0.000812,0.000812,0.000812
20,2829.37,0.51052,0.36281,0.80027,0.9631,0.97134,0.9924,0.90865,0.45423,0.2877,0.78692,0.000746,0.000746,0.000746
21,2996.41,0.46304,0.31326,0.79415,0.97001,0.96766,0.99219,0.91763,0.4277,0.28855,0.78565,0.00068,0.00068,0.00068
22,3132.72,0.45418,0.30157,0.79419,0.97555,0.9758,0.99327,0.90894,0.46231,0.2786,0.78717,0.000614,0.000614,0.000614
23,3271.56,0.44192,0.29516,0.79249,0.96305,0.97324,0.9922,0.92145,0.42021,0.27304,0.78415,0.000548,0.000548,0.000548
24,3411.04,0.43409,0.2849,0.79167,0.97368,0.97276,0.99258,0.92707,0.41534,0.25993,0.783,0.000482,0.000482,0.000482
25,3554.37,0.42656,0.2769,0.78904,0.97865,0.95793,0.99185,0.92189,0.42358,0.27173,0.78298,0.000416,0.000416,0.000416
26,3692.42,0.41669,0.26716,0.78795,0.9756,0.9737,0.99283,0.9322,0.39219,0.25356,0.78061,0.00035,0.00035,0.00035
27,3829.13,0.41129,0.2597,0.78887,0.9745,0.97055,0.99287,0.93198,0.40026,0.25106,0.78168,0.000284,0.000284,0.000284
28,3972.45,0.40681,0.25145,0.78692,0.97368,0.97423,0.99318,0.92993,0.40617,0.2492,0.78133,0.000218,0.000218,0.000218
29,4111.24,0.39741,0.24556,0.78598,0.96175,0.9785,0.99264,0.92609,0.41857,0.2536,0.78242,0.000152,0.000152,0.000152
30,4251.64,0.38979,0.2379,0.78489,0.96358,0.98087,0.99231,0.93718,0.38522,0.24177,0.77996,8.6e-05,8.6e-05,8.6e-05
